,Processor_Name,Clock_Speed,SSD_Capacity,RAM,Graphic_Processor,Graphic_Memory,Touchscreen,Screen_Size,Screen_Resolution,price
370,Core i9,2.5,1 TB,16,DEDICATED,6,No,40.64,9216000,199990.0
372,Core i5,4.2,512 GB,8,INTEGRATED,0,No,39.62,2073600,55890.0
373,Core i9,5.0,2 TB,32,DEDICATED,16,No,43.94,3686400,296000.0
375,Core i3,4.1,256 GB,8,INTEGRATED,0,Yes,35.56,2073600,44990.0
377,Core i5,4.5,512 GB,16,DEDICATED,4,No,40.89,2073600,62990.0
378,Ryzen 9 Octa Core,4.6,1 TB,16,DEDICATED,12,No,39.62,3686400,154990.0
379,Core i5,3.6,512 GB,8,DEDICATED,2,No,39.62,2073600,51990.0
391,Core i7,4.7,512 GB,16,INTEGRATED,0,Yes,35.56,5184000,109990.0
393,Ryzen 7 Octa Core,4.7,1 TB,32,DEDICATED,8,No,40.64,4096000,191990.0
394,Ryzen 5 Quad Core,4.3,512 GB,8,INTEGRATED,0,No,39.62,2073600,46990.0
395,Core i5,4.2,512 GB,8,INTEGRATED,2,No,39.62,2073600,62490.0
396,Ryzen 5 Dual Core,3.5,512 GB,8,INTEGRATED,0,No,39.62,2073600,47490.0
